_type,address,areacode,building_name,city,data_id,lat,listing_date,lng,locality,platform,property_type,sqft,status,txn_type
PurpleyoItem,"Barrister Rajni Patel Marg, Nariman Point, Mumbai",400021,Express Towers,Mumbai,18,18.927887,2016-04-12T07:38:54Z,72.82205,Nariman Point,purpleyo,OFFICE,375000,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"HDIL Building, Sahar Road, Andheri East, Mumbai",400058,Kaledonia,Mumbai,304,19.113638,2016-06-03T06:17:52Z,72.84684,Andheri East,purpleyo,OFFICE,442157,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"CST Road, Kalina, Santacruz East, Mumbai",400098,Ajmera Summit,Mumbai,324,19.071589,2016-03-10T12:37:58Z,72.86245,Santacruz East,purpleyo,OFFICE,49954,COMPLETED AND OPERATIONAL,LEASE/SALE
PurpleyoItem,"# D-263, TTC Industrial Area, Turbhe MIDC, Turbhe, Navi Mumbai",400036,Bluechip Corporate Park,Navi Mumbai,399,19.069408,2016-05-20T11:57:41Z,73.0202,Turbhe,purpleyo,OFFICE AND RETAIL,145655,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Andheri-Kurla Road, Andheri East, Mumbai",400059,Ajmera Times Square Tower D,Mumbai,427,19.108816,2016-03-18T19:54:54Z,72.88397,Andheri East,purpleyo,OFFICE AND RETAIL,0,UNDER CONSTRUCTION,LEASE/SALE
PurpleyoItem,"Chandivali Farm Road, Powai, Mumbai",400072,Nahar Business Center,Mumbai,459,19.113089,2016-02-22T10:13:15Z,72.89796,Powai,purpleyo,OFFICE AND RETAIL,72400,COMPLETED AND OPERATIONAL,SOLD OUT
PurpleyoItem,"Ramachandran Lane, Navy Colony, Kanchpada, Malad West, Mumbai",400064,Neo Corporate Plaza,Mumbai,461,19.189758,2016-05-11T12:34:21Z,72.84023,Malad West,purpleyo,OFFICE AND RETAIL,100000,COMPLETED AND OPERATIONAL,LEASE/SALE
PurpleyoItem,"Lal Bahadur Shastri Marg, Jagjivan Ram Nagar, Mulund West, Mumbai",400080,360 Degrees Business Park,Mumbai,463,19.184093,2016-05-11T12:34:11Z,72.9527,Mulund West,purpleyo,OFFICE AND RETAIL,77000,COMPLETED AND OPERATIONAL,LEASE/SALE
PurpleyoItem,"Andheri-Kurla Road, Andheri East, Mumbai",400059,Ajmera Times Square Tower A,Mumbai,466,19.108154,2016-03-11T04:43:53Z,72.88337,Andheri East,purpleyo,OFFICE AND RETAIL,106400,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Andheri-Kurla Road, Andheri East, Mumbai",400059,Ajmera Times Square Tower B,Mumbai,508,19.108305,2016-03-11T04:44:12Z,72.88364,Andheri East,purpleyo,OFFICE AND RETAIL,218620,COMPLETED AND OPERATIONAL,LEASED OUT
