Ajmera Summit,49954
HDIL Towers,317310
Peninsula Business Park Tower A,600000
Marathon Nextgen Icon,288000
Marathon Futurex,1525000
Equinox Business Park Tower 3,352000
Equinox Business Park Tower 4,572000
Pinnacle Corporate Park Wing - B,48400
INS Tower,0
Century Esplanade,0
Neo Corporate Plaza,100000
Synergy Business Park,163200
Nesco - IT 3,667854
Nesco - IT 4,0
Nesco - IT 2,120000
Nesco - IT 1,150000
Knox Plaza Wing - A,40000
Knox Plaza Wing - B,40000
Sejal Encasaa - Wing A,23400
Wallfort House,15000
empty,9500
Thakur House - Block A,8000
Thakur House  Block - B,31500
Thakur Mall,33000
empty,48000
TRIL IT4,783000
Romell Tech Park,480000
Vakratunda Corporate Park,80531
Techniplex l,243000
Techniplex ll,108000
Accord,14400
Averson,6000
Agarwal Xis,38079
Garuda House Atlanta Estate,126000
Crescent Royale,108000
Indus House,28000
Golden Chambers,36000
Gazdhar Enclave,51000
Orchid Plaza,42000
Cello Triumph Tower,136500
De Elmas,96000
Kotia Nirman,30800
Laxmi Mall,192000
Sri Krishna,130000
empty,0
Accord Classic,60900
Synergy Court,71400
Poonam Heights,12300
Morya Landmark 1,42000
Morya Landmark 2,72000
RNA Corporate Centre,91970
Shri Sai Corporate Park,49000
Ostwal Garden,11260
Sunteck Grandeur,77312
Sunteck Centre,90000
Mehta Estate,150000
KP Aurum,148500
Chintamani Plaza,161000
Kanakia Boomerang,1440000
Nirlon Knowledge Park - Block 3,330000
Nirlon Knowledge Park - Block 1,258750
Nirlon Knowledge Park - Block 2,270000
Nirlon Knowledge park - Block 7,309996
Nirlon Knowledge Park - Block 4,500000
Nirlon Knowledge Park - Block 5,500000
Nirlon Knowledge Park - Block 6,306000
78 W. Expressway,1360000
